Question,Correct
रामायण लाई संस्कृत भाषा बाट नेपाली भाषामा प्रथम पटक कसले उल्था गरेका थिए ?  ,Bhanubhakta Acharya
"""Bishmillah"" मुस्लिम शब्दको अर्थ के हो ?  ",अल्लाहको नाममा
चार जाते गुरुङ्को थर निम्न मध्ये कुन होइन ?  ,ध्याप्रिन
Socrates का अनुसार राजनीतिज्ञ वा प्रसासनमा हुनु पर्ने मुख्य दुई गुण के के हुन् ?  ,जनहितकारी भावना र बुद्धिमत्ता
नेपालको ३८ औ प्रधानमन्त्रि को रुप मा के पी ओली कहिले निर्वाचित भए ?  ,2072-Ashoj-24
नेपालको बैदेशिक रोजगारीको इतिहास लगभग २०० वर्ष पुरानो भए पनि कहिले देखि मात्रै यसको कानुनी संरचना र संगठनात्मक संयन्त्रको स्थापना भएको हो ?  ,BS 2042
देशमा बिध्यमान उद्योगहरु प्राय कुन प्रकृतिको रहेका छन् ?  ,कृषिजन्य
नेपालले सन् २०१४ को २०-२० विश्वकप क्रिकेटमा पहिलो खेल को संग खेलेको थियो ?  ,Hong Kong
सागर थापा कुन खेल संग सम्बन्धित छन् ?  ,Football
एक मानिस को मुटु अर्को मानिसमा कसले सफलपूर्ण तरिकाले सरेका थिए ?  ,Christin and Bernard
 सन् २०१७ जूनमा सम्पन्न आठौं आईसीसी च्याम्पियन्स ट्रफी क्रिकेट प्रतियोगिताको उपाधि कसले जित्यो ?  ,पाकिस्तान
Kalikot जिल्लाको सदरमुकाम कुन हो ?  ,Manma
Bheri अञ्चलमा नपर्ने जिल्ला कुन हो ?  ,Kalikot
Who built the Krishna Mandir of Patan?  ,Siddhinarasimha Malla
कार्ल मार्क्सले कहिले दर्सन शास्त्रमा वीधावारिधी  उपाधि प्राप्त गरे ?  ,1841
सन् २०१३ November३०  मा  U.A.E मा भएको ICC-20 प्रतियोगितामा नेपालले कुन स्थान प्राप्त गरेको थियो ?  ,तेस्रो
होग डिएर (Hog Deer) कुन वन्य जन्तु आरक्ष्यमा पाइन्छ ?  ,शुक्लाफाँट
‘जीवनको सबैभन्दा अँध्यारो क्षणमा हामीले उज्याला किरणतिर मात्र ध्यान दिनुपर्छ’ भन्ने विद्वान् को हुन् ?  ,एरिस्टोटल ओनासिस
पृथ्वीको सबै भन्दा ठुलो  महासागर  कुन हो?  ,प्रशान्त
North America महादेशको सबै भन्दा अग्लो हिमाल कुन हो ?  ,Mount McKinley
गौतम बुद्धले ज्ञानको प्रचार कुन ठाउँमा गरे ?  ,भारतको सारनाथ
टिग्रिस र युक्रेटस नदिको किनारमा हुर्केको सभ्यतालाई के भनिन्छ?   ,मेसोपोटामिया सभ्यता
जितिया पर्व कुन जातिका महिलाको पर्व हो ?  ,Tharu
नेपालमा सर्बप्रथम सचिव हुने महिला को हुन् ?  ,चन्द्रकला किरण
नेपालमा बिद्युत उत्पादन हुन सक्ने सम्भावित क्षेमता कति हो ?  ,"83,000 MW"
Which is the South Asian nation that has prohibited the sale of cigarette in its territory?  ,Bhutan
Isaac Newton ले Gravity (Gravitation) सम्बन्धी नियम कहिले पत्ता लगाएका थिए ?  ,1665 AD
Caroline Wozniacki is related with which Game?  ,Tennis
मानव निर्मित नेपालको सबैभन्दा ठुलो ताल कुन हो ?  ,इन्द्र सरोवर
च्छो रोल्पा ताल कुन जिल्लामा छ ?   ,दोलखा
'गौरा' पर्वमा कुन देवताको पुजा गरिन्छ?  ,Shiva & Parbati
बि.स.१९९२ को एस एलसी परिक्षा मा कति जना पास भएका थिए ?  ,19
छिन्नलता कुन साहित्यकारको उप-नाम हो ?  ,रमोला देवी शाह
नेपालमा सर्वप्रथम स्थापना भएको पार्टी कुन हो ?  ,नेपाल प्रजातन्त्र परिषद्
माटोको संरक्षणको लागी नेपालमा कहिले देखि संस्थागत प्रयास गरिदै आएको छ ?  ,BS 2002
Where is the headquarter of United Nations Development Program (UNDP)?  ,"New York, USA"
तेस्रो योजनामा कति रकम विनियोजन गरिएको थियो ?  ,२ अरब ५० करोड
Newton को चाल सम्बन्धी कुन नियमका कारण पौडि खेल्न सम्भव हुन्छ ?  ,Third
Saptari जिल्लाको सदरमुकाम कुन हो ?  ,Rajbiraj
तल दिएको मध्ये Western Development Region मा पर्ने जिल्ला कुन हो ?  ,Myagdi
पुनजाँगरण को सुरुवात कहाँ बाट भएको थियो ?  ,Italy
मुगल साम्राज्य को स्थापना कसले गरेका हुन् ?  ,Samrat Kublai Khan
Abraham Lincoln ले कहिले रास्ट्रपतिको पदभार ग्रहण गरेका हुन् ?  ,"February 23, 1861"
अब्राम लिंकनको दास प्रथा उन्मुलनसम्बन्धी घोसडाको बिरोधको नेत्रितो कसले गरेका थिय ?  ,John Braun
Bottom Up Approach को अवधारणामा तयार गरिएको योजना कुन हो ?  ,आठौ योजना
भावी सन्ततिको लागी दिगो विकास कुन सम्मेलनमा पारित गरिएको हो ?  ,पृथ्वी सम्मेलन
Chitwan National Park को स्थापना कहिले भएको हो ?  ,2030 BS
Sky Lark चरा (जंगली काग) कुन राष्ट्रिय निकुञ्जमा पाईन्छ ?  ,Sagarmatha National Park
पाकिस्तानी पूर्वप्रधानमन्त्री बेनजिर भुट्टोको निधन कहिले भयो ?  ,सन् २००७ डिसेम्बर २७
Mustang जिल्लाको सदरमुकाम कुन हो ?  ,Jomsom
भानुभक्त आचार्य को मृत्यु कहिले भएको थियो ?  ,BS 1926
प्रत्येक वर्ष कुन दिनलाइ ओजन तह संरक्षण दिवशको रुपमा मनाइन्छ??  ,सेप्टेम्बर 16
सार्बजनिक संस्थानहरु मध्ये जनपयोगी क्षेत्रअन्तर्गत रहेका संस्थानहरुको संख्या कति छ?  ,3
पहिलो अन्तरिक पर्यटक को हुन् ?  ,Dennis Tito
Shey Phoksundo राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?  ,3555 Sq. KM
अन्तर्राष्ट्रिय योग दिवस कहिले मनाउने गरिन्छ?  ,जुन २१
१३औ SAG GAME 2019 (काठमाडौँ -पोखरा) कहिले देखि सुरु भयो?  , सन् २०१९ डेसेम्बेर १
"सात ओटा वडा को एकै गाउँ भएको गोर्खाको कुन गाउँ हो, जुन गाउँ गोर्खाको नमुना पर्यटकीय गाउँको रुपमा पनि चिनिन्छ ?  ",बारपाक
धातु बाट नामकरण गरिएको देश कुन हो ?  ,Argentina
मुस्लिमहरु पौगम्बर मोहमदलाई को बाट ज्ञान प्राप्त भएको विश्वास गर्छन ?  ,अल्लाह
रामशाह कहाँका राजा थिए ?  ,गोर्खा
मोतीराम भट्टको मिथ्यु कहिले भएको थियो ?  ,वि.स. १९५३
नेपालको सार्वप्रथम महिला  न्यायाधीश को हुन् ?  ,शारदा श्रेष्ठ
तलका मध्ये कुन सरुवारोग होइन ?  ,रक्तचाप
 लिच्छविकालमा राजकीय भाषा कुन थियो ?   ,संस्कृत
Central Development Region को कती ओटा अञ्चलले भारत मात्र छोएको छ ?  ,1
बिराटनगर सहरको पुरानो नाम के हो?  ,गोग्रह
Church लाई धार्मिक करको रुपमा बुझाउनु पर्ने करलाई के भनिन्थ्यो?  ,टिथे
बौद्ध धर्मका प्रर्वकता को हुन् ?  ,गौतम बुद्ध
काठमाडौँ महा नगरपालिकाले फोहर बेव्स्थापन गर्न बर्सेनि कति रकम खर्च गर्छ ? (Data 2014 AD)  ,40 करोड
नेपालमा हरेक बर्ष सहकारी दिवश कहिले मनाइन्छ ?  ,Chaitra 20
करिश्मा कार्की कुन खेल संग सम्बन्धित छन् ?  ,पौडी
Stolen Images Of Nepal नामक पुस्तकका लेखक लैनसिंह वाङ्देल हुन् भने Lost Heritage Of Nepal नामक पुस्तकका लेखक को हुन्   ,रमेश ढुङ्गेल
संसारकै सबै भन्दा प्रसिद्ध Statue of Liberty कसले America लाई उपहार दिएको हो ?  ,France
Arghakanchi जिल्लाको सदरमुकाम कुन हो ?  ,Sandhikharka
Dhankuta जिल्लाको सदरमुकाम कुन हो ?  ,Dhankuta
Antarctica पुग्ने प्रथम नेपाली को हुन् ?  ,Bhuwan Singh BK
पुस्तकमा  राख्ने प्रचलनको सुरुवात कुन देशबाट भएको हो ?  ,बेलायत
सार्कले कहिले देखि साकृतिक विविधताको संरक्षण गर्न कुनै एक महत्वपूर्ण सास्कृतिक धरोहरलाइ सास्कृतिक राजधानी घोषणा गर्न थाल्यो??  ,सन 2015
Which is the Capital of Scotland?  ,Edinburgh
तल दिएका मध्ये को राष्ट्रिय बिभुति होइन ?   ,Laxmi Prasad Devkota
अरनिकोको बालक कालको नाऊ  अर्थात् वास्तविक नाम के हो ?  ,बलबाहु
ज्ञान प्राप्त गरेपछि ज्ञान बाड्न भगवान Buddha गया बाट कहाँ गएका थिए ?  ,Sarnath
सुकरातको माता Phaenarete को पेसा के थियो ?  ,धाई
Abraham Lincoln जन्म अमेरिकाको कुन राज्य मा भएको थियो ?  ,Kentucky
नेपाल बाट सबै भन्दा नजिक रहेको समुन्द्री किनारा कती KM टाढा छ ?  ,1126 KM
Asin Clearing Union को मुद्रालाई के भनिन्छ ?  ,ACU
सन् २०१४ को FIFA World Cup कुन देशमा सम्पन्न भयो ?  ,Brazil
अमलाको बैज्ञानिक नाम के हो ?  ,Phyllanthus emblica
सर्वव्यापी घोलक के लाइ भनिन्छ ?  ,Water
तराईको जंगललाई झोरा भनिन्छ भने लेकको जंगललाई के भनिन्छ ?  ,पाल
विश्वको सबै भन्दा गहिरो ठाउँ Mariana Trench को गहिराई कति छ?  ,"10,971 M"
त्रिशुलीको लम्बाई कति रहेको छ ?  ,263 km
नागार्जुन दरबार कसले निर्माण गरेका थिए ?  ,Juddha Shumsher
December 5 2013 AD मा ९५ वर्ष को उमेर मा निधन भएका South Africa का पुर्व राष्ट्रपति Nelson Mandela को पार्थिव सरिर लाई पैतृक गाउँ कुनुमा कहिले समाधिस्त गरियो जहाँ उनले आफ्नो बाल्यकाल र किशोर अवस्था बिताएका थिए?  ,"December 15, 2013 AD"
मानिस स्वभावत : राजनीतिक प्राणी हो।  यो भनाइ कसको हो ?  ,अरस्तु
"नेपाल अन्तरिक शासन विधान,२००७ कहिलेदेखि जारी भएको थियो ?  ",२००७ चैत्र २९
Abraham Lincoln को पिता को नाम के थियो ?  ,Thomas Lincoln
संयुक्त राष्ट्रसंघको सचिवालय कहाँ रहेको छ ?  ,New York
सबै भन्दा ठुलो / लामो माछा कुन हो ?  ,Blue Whale
Water Frame नामक जलशक्ति बाट चल्ने चर्खा को निर्माण कसले गरेका हुन् ?  ,Richard Arkwright
नेपालले कहिलेसम्म बालविवाह अन्त्य गर्ने प्रतिवद्धता जनाएको छ ?  ,सन् २०२०
Mid-Western Development Region मा नपर्ने अञ्चल कुन हो ?  ,Seti
Western Development Region को सदरमुकाम कुन हो ?  ,Pokhara
"रानी पोखरीलाई स्थापना कालमा 'न्हूँ पुखुँ 'भनिन्थ्यो , भने त्यसको अर्थ के हो ?  ",नयाँ पोखरी
"According to the official website of Government of Australia, among the 100 best Universities in the world, how many lies at Australia?  ",7 Universities
सबैले खाए पछि खाने राजा को थिए ?  ,Mahindra Malla
जनमत संग्रह गराउने घोसड़ा कहिले भएको थियो ?  ,2036 Jesth 10
नेपाल राज्यको कार्यकारिणी अधिकार कसमा निहित हुने व्यवस्था छ ?  ,मन्त्रिपरिसदमा
नेपालमा कुल भूमिको कति प्रतिसत भूभाग खेतीयोग्य जमिन रहेको छ ?  ,करिब १७ %
लामखुट्टे नपाईने देशः  ,France
सबै भन्दा पछि स्वतन्त्रता प्राप्त गर्ने SAARC राष्ट्र कुन हो ?  ,Bangladesh
