Question,Answer1,Answer2,Answer3,Answer4,Correct
सौर्यमण्डलमा कती प्रतिसत स्थान सुर्यले ओगटेको छ ?,18.2%,12.5%,11.8%,15.0%,
धातु बाट नामकरण गरिएको देश कुन हो ?,Argentina,Mali,Russia,Turkey,
Taplejung जिल्लाको सदरमुकाम कुन हो ?,Fidim,Chandragadi,Illam,Taplejung,
तल दिएको मध्ये Western Development Region मा नपर्ने जिल्ला कुन हो ?,Rupandehi,Syangja,Dang,Parbat,
फुंङ्चु  कुन नदीको अर्को नाउ हो ?,Tamor,Likhu,Arun,Tamakoshi,
विश्वको एक कलात्मक सुन्दर सहर कुन हो ?,"London, England","Tokyo, Japan","Cairo, Egypt","Paris, France",
शाहबंसिय राजाहरुमा सबै भन्दा बुढो उमेरमा मा राजा हुने को हुन् ?,King Gyanendra,King Rana Bahadur,King Surendra,King Rajendra,
St. Peter Church of Rome कसले बनाएका हुन् ?,डेबिड हक,माईकल अब्रहीम,माईकल एंजोल,Leonardo Da Vinci,
"""हिटलर र यहुदी""  कृतिका लेखक को हुन् ?",बिजयबहादुर मल्ल,गोपालप्रसाद रिमाल,सुबास घिसीङ्,वि.पी. कोइराला,
राष्ट्रिय जन-गणना 2068 BS अनुसार मात्रीभाषा नेपाली भएका कती प्रतिसत नेपाली छन् ?,55.9 %,44.6 %,48 %,50.2 %,
छोरीलाई बिहेमा चिउरीको बोट दाइजोको रुपमा दिने जाति कुन हो ?,Chepang,Gurung,Newar,Dhimal,
"मनुष्यहरु को निवास भएको भुमि पनि अर्थ हो, भुमि कमाउने, रक्षा गर्ने उपाए हरु बनाउने शास्त्रलाई नै अर्थशास्त्र भनिन्छ। यो भनाई कसको हो?",अरस्तु,महात्मा गान्धी,चाणक्य,अब्राहम लिंकन,
जावलाखेल चिडियाखाना को स्थापना कसले गरेका हुन् ?,Dev Samsher,Juddha Samsher,Bhim Samsher,Bir Samsher,
शुद्ध रगत बोक्ने Vein कुन हो ?,All the answers are correct,Subclavian Vein,Jugular Vein,Pulmonary Vein,
योगशास्त्रका प्रवर्तक को हुन् ?,बाबा रामदेव,पतञ्जली,बालकृष्ण,बाबा रामदेव  + बालकृष्ण,
अफ्रीका महादेशमा बेलायतको उपनिवेश भएको पहिलो राष्ट्र कुन हो?,नामिबिया,गाम्बिया,नाइजेरिया,कंगो,
नेपालको सबभन्दा लामो हिमनदि कुन हो ?,माथिका सबै,दुवै,लामटांङ,खुम्बु,
Central Development Region को कती ओटा अञ्चलले भारत मात्र छोएको छ ?,4,2,1,3,
Nawalparasi जिल्लाको सदरमुकाम कुन हो ?,Taulihawa,Tansen,Sandhikharka,Parasi,
Parsa जिल्लाको सदरमुकाम कुन हो ?,Birgunj,Bharatpur,Gaur,Kalaiya,
Which is the Capital of Austria?,Moscow,Castries,Vienna,Lisbon,
इन्द्र जात्रा को प्रचलन  कसले चलाएको हुन्?,जयस्थिति मल्ल,प्रताप मल्ल,मानदेव,गुणकामदेव,
Bhaktapur दरबार आगाडी भएको सालिक कसको हो ?,Jay Prakash Malla,Tej Narshing Malla,Bhupatindra Malla,Ranajit Malla,
"""अन्तआत्माले जे भन्दछ त्यही सत्य हो "" यो कसको भनाइ हो ?",महात्मा गान्धी,गौतम बुद्ध,सुकरात,अब्राहम लिंकन,
सुकरात मानिसलाई ज्ञान दिने होइन ………. बनाउन चाहन्थे ?,धार्मिक,शिक्षित,ज्ञानी,भक्त,
जिल्ला प्रसासन योजना कहिले लागु गरियो ?,२०३२,२०३०,२०२३,२०३१,
सर्वप्रथम नेपालमा निजामति सेवा एंन्को व्यवस्था कहिले भएको हो ?,२०१२,२००९,२०१३,२०११,
पहिलो योजनामा सरकार कति खर्च गर्न योजनामा बनाएको थियो ?,६१ करोड,५९ करोड,६२ करोड,३३ करोड,
एड्सको जिवाणु कुन हो ?,Herpes Virus,Paramyxo Virus,Retro Virus,Bordetella Pertussis,
Biotin कुन Vitamin को नाम हो ?,Vitamin B,Vitamin A,Vitamin H,Vitamin K,
Doing Business Report-2020 अनुसार नेपाल कति औं स्थानमा पर्न सफल भएको छ ?,९४  औ,१०० औ,८८औ,११० औ,
नेपालको कुन जिल्लाको आकार नेपालको नक्सा संग मिल्दो जुल्दो छ ?,बाग्लुंग,रामेछाप,पर्बत,ललितपुर,
तल दिएको मध्य कुन जिल्ला सगरमाथा अञ्चलमा पर्दैन ?,Sarlahi,Okhaldhunga,Saptari,Solukhumbu,
विश्वको कुल भू-भागको करिब एक चौथाई क्षेत्रफल ओगटेको पर्वातिये क्षेत्रमा कति प्रतिसत मानिस बसोबास गर्छन ?,12 %,20 %,8 %,4 %,
नेपालको तराई क्षेत्रमा कुन माटो पाईएको छ ?,बलौटे माटो,पागो माटो,दोमट माटो,चिम्टाईलो माटो,
Which is the biggest Planet?,Mercury,Earth,Neptune,Jupiter,
""" धर्म जनताको लागि अफिम हो "" यो भनाइ कसको हो ?",Karl Marx,Chanakya,Aristotle,Mao,
Who is the writer of the book An Account of Kingdom of Nepal?,F D Hamilton,Aang Sang Suu Ki,John Wright,Daniel Wright,
नेपालको पहिलो घोषित साक्षर नगरपालीका कुन हो ?,भरतपुर नगरपालिका,व्यास नगरपालिका,तानसेन नगरपालिका,लेखनाथ नगरपालिका,
तल दिएका मध्ये कसको युवराज अवस्थामा मृत्यु भएको थियो ?,Trailokya Shah,Pratap Singh Shah,Surendra Shah,Rajendra Shah,
Which Nepali got VC after Second Worldwar in the war of Bornio?,Ram Bahadur Limbu,Min Bahadur Gurung,Ram Singh Gurung,Kul Bir Thapa,
अरस्तुको सम्बन्धमा तलको कुन चाहिँ ठिक हो ?,तर्कशास्त्रका जन्मदाता,सत्यका महान पुजारी,बहुमुखी प्रभाबशालि दार्सनिक,सबै उत्तर ठिक छन्,
आगामी १९ औं सार्क शिखर सम्मेलन कहिले र कहाँ हुनेछ,"Dhaka, Bangladesh","Thimpu, Bhutan","Banglore, India","Islamabad, Pakistan",
Jang Bahadur Rana पछि बेलायत जाने राणा प्रधानमन्त्री को हुन् ?,Bhim Shamsher Jang Bahadur Rana,Juddha Shamsher Jang Bahadur Rana,Chandra Shamsher Jang Bahadur Rana,Bir Shamsher Jang Bahadur Rana,
Prithvi Narayan Shah को हत्याको षड्यन्त्र गर्ने को थिए ?,Karna Sen,Sur Pratap Shah,Ram Krishna Kunwar,Rajendra Sen,
बहुप्रतिक्षित रक्सौल-अमलेखगञ्ज पेट्रोलियम पाइपलाइन निर्माणका लागि नेपाल र भारत सरकारबीच भाद्र ०७ २०७२ मा काठमाडौंमा औपचारिक सम्झौता भएको थियो। भारतको तर्फबाट पेट्रोलियम तथा प्राकृतिक ग्यास मन्त्री धर्मेन्द्र प्रधानले हस्ताक्षर गरे भने नेपालका तर्फबाट कसले हस्ताक्षर गरे ?,वाणिज्य तथा आपूर्ति मन्त्री Mahesh Aacharaya,वाणिज्य तथा आपूर्ति मन्त्री Shyam Sundar Gupta,वाणिज्य तथा आपूर्ति मन्त्री Rajendra Mahato,वाणिज्य तथा आपूर्ति मन्त्री Sunil Bahadur Thapa,
बन्जी जम्प गर्न कतीदेखी कति बर्षसम्म उमेर हुनेलाई आमाबुवाको स्वीकृति लिनु पर्छ ?,18-24,12-17,17-24,17-35,
हैजा रोग कुन किटाणु बाट सर्दछ ?,Bordetella Pertussis,Human Immunodeficiency Virus,Mycobacterium Bacilli,Vibrio Cholerae,
आइज्याक न्युटनको जन्म कहिले भएको थियो ?,सन् १६४२ जनवरी ९,इसा पुर्व २८२ मा,सन् १६४२ डिसेम्बर २५,सन् १६४२ जनवरी १०,
मानव सरिर मा सबै भन्दा ठुलो ग्रन्थी कुन हो ?,फोक्सो,मिर्गौला,कलेजो,मुटु,
रकेटको विकास कुन देशमा भएको हो ?,CHINA,RUSSIA,AMERICA,JAPAN,
What is the name of the woman who divorced with the most powerful Russian President Vladimir Putin?,Lyudmila Shkrebneva,Maria Sharapova,Julia Angolo,Monica Lewinsky,
तलका मध्य कुन बन्दरगाह होइन ?,अलेजेडिया,कलकत्ता,न्यूयोर्क,लापाज,
सबैभन्दा बढी देश भएको महादेश कुन हो ?,अफ्रीका,एशिया,उत्तर अमेरिका,युरोप,
Europe महादेशमा भूपरिबेस्ठित (Landlock) राष्ट्रहरु कति छन् ?,15 Countries,10 Countries,17 Countries,12 Countries,
अमरसिह थापाको जन्म कहिले भएको थियो ?,वि.स.१८०७,वि.स.१८०९,वि.स.१८०८,वि.स.१८०५,
महादेवको बाहन लाई के भनिन्छ ?,मुसा,लाटोकोसेरो,साँढे,मयुर,
नेपाली सेना र अंग्रेज सेनाको बिचमा कुन ठाउँमा युद्ध भएको थियो ?,देउथल,मलाउ,वेत्रावती,नालापानी,
Abraham Lincoln 1855 AD मा पार्टी परिवर्तन गरी कुन पार्टीमा प्रवेश गरे ?,Democratic,Republic,Communism,Labour Party,
नेपालका सार्वप्रथम महिला राज्यको उत्तराधिकारी को हुन् ?,नायक देवी,विद्या देवी भण्डारी,शुसीला थापा,द्वारीकादेवी ठकुरानी,
Abraham Lincoln नाटक हेर्दा हेर्दै कसले गोली हानी मारेका थिए ?,Stephin Hawakins,John Wilkes Booth,Adam Smith,John Smith,
नेपालमा कति प्रजातिका जडिबुटीहरु भेटिएका छन् ?,१५० प्रजातिका,३०० प्रजातिका,२५० प्रजातिका,१०० प्रजातिका,
South Asia मा समलिंगी अधिकारलाई बैधानिक मान्यता दिने एक मात्र देश कुन हो?,Pakistan,Sri Lanka,India,Nepal,
ज्योतिष शास्त्रअनुसार नछेत्र कतिवोटा हुन्छ ?,27,20,8,15,
मान्छेको मुटुको सरदार तौल कति हुन्छ ?,330 Gram,250 Gram,200 Gram,300 Gram,
सबै भन्दा गहिरो ताल बैकाल (Baikal) को गहिराई कति छ ?,"1,566 M","1,642 M","1,688 M","1,667 M",
"विश्वको सबै भन्दा ठुलो र धेरै जनाले काम गर्न सक्ने Office, The Pentagon, USA मा लगभग कति जनाले काम गर्दछन् ?","27,500","38,000","35,800","32,000",
हिमाल देखि चुरे पहाड़ सम्म फैलिएको जिल्ला कुन हो ?,मुस्ताङ,पर्बत,सिन्धुपाल्चोक,धादिङ,
Far Western Development Region मा नपर्ने जिल्ला कुन हो ?,Darchula,Kanchanpur,Kalikot,Kailali,
तराईको जंगललाई झोरा भनिन्छ भने लेकको जंगललाई के भनिन्छ ?,पालुवा,लेक,लेकाली,पाल,
Kavrepalanchowk जिल्लाको सदरमुकाम कुन हो ?,Dhulikhel,Dhunche,Dhadingbesi,Bidur,
नेपालको सबै भन्दा धेरै पानी पर्ने ठाउँ कुन हो ?,Kathmandu,Chitwan,Janakpur,Pokhara,
कालीगण्डकीको लम्बाई कति रहेको छ ?,550 km,640 km,1000 km,507 km,
Mustang जिल्लाको सदरमुकाम कुन हो ?,Jomsom,Baglung,Beni,Kusma,
Which is the Capital of United Arab Emirates?,Doha,Sharjah,Dubai,Abu Dhabi,
सबै भन्दा धेरै भुकम्प जाने देश कुन हो ?,Indonesia,Singapore,Japan,Nepal,
सिरुवा पर्व नेपालको कुन क्षेत्रमा मनाईन्छ ?,तराई प्रदेस,हिमाली  प्रदेस,पहाडी प्रदेस,काठमाडौँ उपत्यका,
"नेपालका कुन कवि ""बिम्ब कवि"" का रुपमा पनि परिचित छन् ?",सिद्धिचरण श्रेष्ठ,रमेश श्रेष्ठ,रबिन्द्र श्रेष्ठ,ईश्वर श्रेष्ठ,
नेपालमा द्रविड भाषा परिवार अन्तर्गत बोलिने भाषा कुन हो ?,झाँगड,नेपाली,भोजपुरी,थारु,
भानुभक्त आचार्य ले पढ्न - लेख्न को बाट सिकेका थिए ?,आमा,घाँसी,बुवा धनन्जय आचार्य,हजुरबुवा श्रीकृष्ण आचार्य,
मानपदवी कति प्रकारका छन् ?,15,9,5,12,
धान नाच कुन जातिमा प्रचलित नाच हो ?,Thakali,Limbu,Tharu,Gurung,
When did Abraham Lincoln died?,"April 15, 1865","July 09, 1871","March 20, 1860","May 22, 1870",
लाइब्रेरी पर्ब कसको पालामा घटेको थियो ?,Chandra Shamsher,Bhim Shamsher,Bir Shamsher,Padma Shamsher,
निजामति कर्मचारीको कार्यक्षमताको मुल्याङ्कन गर्दा बढीमा कति अंक प्रदान गरिन्छ ?,१०० अंक,५० अंक,६० अंक,७० अंक,
खेतिपातीको लागी सबै भन्दा कम उब्जाउ हुने माटो कुन हो?,तलैया माटो,बलौटे पत्थरिलो माटो,रातो फुस्रो माटो,पाँगो माटो,
"नेपालमा हालसम्म निजी क्षेत्रबाट उत्पादित सबैभन्दा ठुलो जलबिधुत परियोजना खिम्ती आयोजना हो भने,यसले कति मेगावाट विधुत उत्पादन गर्न सक्छ ?",७०,७५,६५,६०,
Makalu Barun राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,1700 Sq. KM,1600 Sq. KM,1400 Sq. KM,1500 Sq. KM,
यौवन अवस्था कति वर्षदेखि सुरु हुन्छ ?,१४,१३,१२,१५,
Which is the Capital of Argentina?,Vienna,Luanda,Nassau,Buenos Aires,
संसारको सबै भन्दा अग्लो मुर्ति कुन हो ? (Till the data of 2013),Sendai Daikannon (Japan),Grand Buddha at Ling Shan (China),Spring Temple Buddha (China),Statue of Liberty (USA),
कुन बिकाश क्षेत्रमा सबै भन्दा धेरै जिल्लाहरु छन् ?,Centeral Development Region,Mid Western Development Region,Western Centeral Development Region,Eastern Development Region,
Sarlahi जिल्लाको सदरमुकाम कुन हो ?,Manthali,Jaleshwor,Janakpur,Malangwa,
भानुभक्त ले को बाट जीवन मा केहि उपयोगी काम गर्नु पर्छ भन्ने शिक्षा पाएका थिए ?,घाँसी,किसान,दाउरे,गोठाले,
राजा जनकको पुरोहितको नाम के थियो ?,बाल्मिकी ऋषि,शुक्रचार्य ऋषि,यज्ञबलक्य ऋषि,बृहस्पति ऋषि,
Which is the first bank of Nepal?,Kumari bank ltd,Nepal bank ltd,Nepal rastra bank,Kist bank ltd,
सबैभन्दा बढी नगरपालिका भएको जिल्ला कुन हो। (Data of 2014 AD),Kathmandu,Sarlahi,Chitwan,Morang,
नेपालमा हरेक बर्ष सहकारी दिवश कहिले मनाइन्छ ?,Falgun 15,Magh 1,Asar 15,Chaitra 20,
नेपालमा बलौटे माटो कहाँ कहाँ पाइन्छ ?,सबै उत्तर ठिक छ,चुरे पहाड,भावर प्रदेश,भित्री मदेश,
वायुमण्डलिय चाप नपने येन्त्रलाई के भनिन्छ ?,Lactometer,Thermometer,Altimeter,Barometre,
Pele is related with?,Cricket,Tennis,Football,Volleyball,
Mid-Western Development Region मा नपर्ने जिल्ला कुन हो ?,Pyuthan,Chitwan,Bardiya,Jumla,
Which is the Capital of Poland?,Warsaw,Moscow,Lisbon,Castries,
सबै भन्दा धेरै उन उत्पादन गर्ने देश कुन हो ?,China,Germany,France,Australia,
पहाडी प्रदेशले कुल क्षेत्रफलको कति प्रतिसत भूभाग ओगटेको छ ?,58%,68%,78%,48%,
Terhathum जिल्लाको सदरमुकाम कुन हो ?,Dhankuta,Khandbari,Biratnagar,Myanglung,
सबै भन्दा धेरै गुम्बा भएको जिल्ला कुन हो?,Manang,Solukhumbu,Sankhuwasava,Mustang,
राजा जनकलाई अर्को के नामले पनी चिनिन्छ ?,धर्मात्मा जनक,सम्राट जनक,महाराज जनक,राजर्षी जनक,
विश्वभर बोलिने चलनचल्तीका भाषा मध्ये नवौ स्थानमा कुन भाषा पर्दछ ?,हिब्रु,उर्दु,पंजाबी,हिन्दी,
तिलोतमा कुन नदीको पौराणिक नाम हो ?,Rapti,Tinau,Seti,Kankai,
Who is the last Malla Ruler of Kathmandu?,Ranajit Malla,Jay Prakash Malla,Siddhi Narshing Malla,Tej Narshing Malla,
अमेरिका कहिले पत्ता लागेको थियो ?,1400 AD,1455 AD,1488 AD,1492 AD,
ताप्केको लागि कुन ठाउँ प्रसिद्ध छ ?,Bhaktapur,Palpa,Hetauda,Birgunj,
प्रचण्ड गोर्खाको स्थापना कहिले भयो ?,वि.स.१९७९,वि.स.१९८७,वि.स.१९८९,वि.स.१९८८,
पहिलो आम निर्वाचन कहिले भएको हो ?,२०१५ चैत्र १२,२०१५ बैशाख १५,२०१५ फागुन ७,२०१५ फागुन १,
टिम्बर कर्पोरेसन कुन मन्त्रालय अन्तरगत पर्दछ ?,उद्योग तथा बाणिज्य,अर्थ,वन तथा भू संरक्षण मन्त्रालय,गृह,
The headquartaer of the UNESCO is at?,"Zurich, Switzerland","Geneva, Switzerland","Berlin, Germany","Paris, France",
हरेक दिन नेपालमा कती जना दृस्टीबिहिन हुने तथ्यांक छ ? (Data 2070 BS),112,130,125,118,
श्रीलंकाको  सरकारी  विमान सेवालाई के भनिन्छ ?,Biman,EIAI,Air Lanka,PANAM,
Saptari जिल्लाको सदरमुकाम कुन हो ?,Manthali,Kalaiya,Siraha,Rajbiraj,
क्षेत्रफल को हिसाबले चौथो ठुलो महासागर कुन हो ?,हिन्द,प्रसान्त,सुमेरु,कुमेरु,
सबै भन्दा ठुलो रेल्वे सुरुंग कहाँ छ ?,Japan,China,USA,London,
नेपालको सबभन्दा ठुलो ताल कुन हो ?,रारा ताल,महेन्द्र ताल,फोक्सुनडो ताल,फेवा ताल,
नेपालको एग वास्केट भनेर कुन जिल्लालाई चिनिन्छ??,चितवन,काठमाडौँ,नवलपरासी,पाल्पा,
Bheri अञ्चलमा नपर्ने जिल्ला कुन हो ?,Surkhet,Jajarkot,Kalikot,Banke,
गौरीशंकर हिमाल कुन हिम शृंखला अन्तर्गत पर्दछ ?,धौलागिरी,लालीगुराँस,मकालु,रोल्वालिंग,
मुसा कसको बाहन हो ?,श्री गणेश,शिव शंकर,माता लक्ष्मी,श्री हरि बिस्नु,
रामशाह कहाँका राजा थिए ?,लिगलिग,गोर्खा,लम्जुङ्,पाल्पा,
"बेलायती  इतिहासमा जेम्सको पतन बडो बिचित्र र दु:खदायी छ। एउटा ठुलो फौज, शक्तिशाली समुद्र बडा, थुप्रो धन, शक्तिशाली साथीहरु हुदै येत्रो ठुलो राजाको पतन एक्कासी भयो। यो भनाई कसको हो ?",Ramsey Moore,Lord A Acton,Bishop Barnett,Mekale,
दोस्रो विश्वयुद्दमा नेपालले कसलाई सहयोग गरेको थियो ?,Japan,India,USA,United Kingdom,
,१० जना,१२  जना,१५ जना,११  जना,
`सत्यग्रह भनेर के बुझिनछ ?,माथिको सबै,सत्यमा दटीरहनु,सत्यलाई आत्मासात गर्नु,हिर्दय परिवर्तन गर्नु,
When was Bidhya Devi Bhandari Elected as the 2nd President of Nepal and First Woman President of Nepal?,Kartik 11 - 2072,Kartik 08 - 2073,Kartik 05 - 2070,Kartik 28 - 2071,
महाभारत पर्वत को भिर हरु मा रहेको चट्टानमा सडेको झारपात हरु मिलेर बनेको माटो लाई के भनिन्छ ?,बलौटे पत्थरिलो माटो,हिमाली माटो,रातो फुस्रो माटो,पाँगो माटो र तलैया माटो,
नेपालमा सहकारी बैंकको स्थापना कहिले भएको थियो ?,१०१३,२०२२,२०२०,२०१०,
नेपालको कुन ठाउँमा अन्तराष्ट्रिय पर्वतिय संग्राहलय रहेको छ ?,Dharan,Lukla,Chitwan,Pokhara,
सन् २०१४ को FIFA विश्वकपमा गोल्डेन बल अर्जेन्टिनाका मेस्सिले प्राप्त गरे भने गोल्डेन बुट कसले प्राप्त गरे ?,कोलम्बियाका जेम्स रोड्रिग्वेज,ब्राजिलका नेयमार,जर्मनका नुयुर,जर्मनीका थोमस मुलर,
Rafael Nadal is related with which game?,Tennis,Volley Ball,Cricket,Football,
Cotton Gin को अविस्कार कसले गरेका हुन् ?,Samuel Crompton,Eli Whitney,Charles Khalid,Jethro Tull,
Theory of Relativity का प्रतिपादक को हुन् ?,John J.Loud,Newton,Albert Einstein,John Walker,
सबै भन्दा लामो दिन कुन हो ?,21st June,11th Oct,29th December,21st March,
रोम साम्राज्य लाई दुइ खण्डमा कसले बिभाजन गरेका थिए ?,जुलिएस सिजर,सम्राट थियोदिन्सिस,नेमकुल,सोलोमोन,
धरहराको निर्माण कसले गरेका हुन्?,King Surendra,Jung Bahadur Rana,Bhimsen Thapa,Amarsingh Thapa,
Who established Durbar High School and started schooling from his Palace?,Ranodip Singh Kunwar Rana,Bir Sumsher Ja.Ba.Ra.,Chandra Shumsher Ja.Ba.Ra.,Jung Bahadur Kunwar Rana,
नेपालको संबिधान २०७२ कसले जारी गरेका हुन् ?,President - Ram Baran Yadav,Vice President - Parmananda Jha,Speaker - Subash Chandra Nemwang,Prime Minister - Sushil Koirala,
Which company is the biggest player in the microprocessor industry?,Intel,Motorola,AMD,IBM,
बोसो मा घुल्ने Vitamin हरु कुन कुन हुन् ?,BDEK,DEK,ABCD,CDEK,
"""सारोन"" कुन ग्रहको उपग्रह हो ?",Birsapati,Yam,Budh,Sani,
Isaac Newton ले Gravity (Gravitation) सम्बन्धी नियम कहिले पत्ता लगाएका थिए ?,1633 AD,1668 AD,1665 AD,1679 AD,
नाम्चे बजार र नेपालगंजको मिल्ने कुरा के हो ?,अक्षांश,बर्षा,तापक्रम,बातावरण,
संसारकै सबै भन्दा प्रसिद्ध Statue of Liberty कसले America लाई उपहार दिएको हो ?,United Kingdom,Portugal,France,Germany,
सौर्य परिवारका 8 ओटा ग्रहका कति ओटा उपग्रह हरु छन् ?,105,172,96,159,
Which is the Capital of Saudi Arabia?,Riyadh,Dakar,Dubai,Doha,
विश्वको सबै भन्दा गहिरो ठाउँ Mariana Trench कुन महासागरमा पर्दछ ?,Arctic Ocean,Pacific Ocean,Atlantic Ocean,Indian Ocean,
गोग्रह बजारलाई बिराटनगर भनि कसले नामकरण गरेका हुन् ?,बीर सम्शेर,केशर सम्शेर,मोहन सम्शेर,चन्द्र सम्शेर,
पृथ्वी नारायण शाह कति महिनामा जन्मेका थिए ?,7 महिना,11 महिना,10 महिना,9 महिना,
सर्बप्रथम विकेन्द्रीकरण ऐन कहिले बनेको थियो ?,२०३२,२०३९,२०३५,२०३६,
राजेन्द्र लक्ष्मीले कति वर्ष नायबी भई शासन समालेकी थिईन ?,7,6,5,8,
जंगबहादुरको Death कहाँ भएको थियो ?,आर्यघाट,पथरघट्ट,कालमोचन्दघाट,Devighat,
छाला तथा फोक्सो दुवै अंग बाट सास फेर्ने जीव कुन हो ?,भ्यागुता,माछा,कछुवा,गोही,
पौष्टिक पदार्थ कती प्रकारका हुन्छन ?,12 प्रकार,6 प्रकार,3 प्रकार,8 प्रकार,
भैसालोटन कुन नदीको किनारमा रहेको छ ?,Mechi,Gandaki,Mahakali,Koshi,
Janakpur अञ्चलमा कति ओटा जिल्ला हरु छन् ?,3,4,5,6,
How many Oceans (महासागर) are there?,7,6,4,5,
कपडामा कोरिने चित्रलाई के भनिन्छ ?,पुराती चित्र,थान्का,पौवा चित्र,चित्रकला,
मोतीराम भट्टले भारतमा हुदा प्रकाशीत गरेको पत्रिकाको नाम के थियो ?,गोरखा भारत जीवन,आवाज,सुधासगर,गोरखा सन्देस,
जितिया पर्व कुन जातिका महिलाको पर्व हो ?,Tharu,Chepang,Thakali,Limbu,
भानुभक्त आचार्य को मृत्यु कहिले भएको थियो ?,BS 1953,BS 1961,BS 1926,BS 1938,
राजा त्रिभुवन को मृत्यु कहाँ भएको हो ?,Delhi,Paris,London,Switzerland,
""" Ahimsa and truth are my two lungs .I can not live without them "" यो कसको भनाइ हो ?",Nepoleon,Buddha,Mahatma Gandhi,Abram Linclon,
Doctrine of Two Knowledge of Socrates भन्नाले के लाई बुझाउछ?,आन्तरिक ज्ञान,बाह्य ज्ञान,अन्तरबस्तु ज्ञान,बाह्य तथा आन्तरिक ज्ञान,
राणाकालमा सर्व-साधारण जनताले पाउने उच्चतम पद के थियो ?,उमराव,सुब्बा,कार्यालय सहयोगी,खरिदार,
नेपाल मा सर्वप्रथम निजीकरण ऐन कहिले जारी भएको हो ?,वि. स. २०५० साल,वि. स. २०५८ साल,वि. स. २०५५ साल,वि. स. २०५९ साल,
कमल पित्त कस्तो रोग हो ?,नसर्ने रोग,कुनै पनि होइन,सर्ने रोग,हैजा रोग,
"""शान्तिको लागि शिक्षा"" अभियान बोकेर देशव्यापी सांगीतिक यात्रा गर्दै हिडिरहेको कुन सांगीतिक समूह हो ? (2070 BS / 2013 AD)",Kandara Band,Bro - Sis Band,Mongolian Heart,Nepathya,
अस्पताल बाट निस्कने फोहर अन्य फोहर संग मिसायो भने रु ३० हजार देखि रु १ लाख सम्म जरिवाना हुन्छ भने कति वर्ष कैद हुन सक्छ?,2,3,8,1,
Hashim Amla is related with?,Cricket,Football,Cycling,Tennis,
सुर्यको नजिक रहेको तारा कुन हो ?,Proxima Centauri,Dog Star,Mercury,Venus,
बृहत् ज्ञानकोष का लेखक को हुन् ?,Didaro,Voltaire,Montesquieu,Socrates,
प्रथम दक्षिण एशियाली खेलकुदमा नेपालले कतिबटा पदक जितेको थियो ?,24,10,22,15,
Which is the most populated country in the world?,Russia,Indonesia,China,India,
ताज महल कुन नदीको किनार मा छ ?,Jamuna,Yamuna,Brahmaputra,Ganga,
भिमसेन थापाले सैनिक सेवामा कुन पदमा प्रवेस गरी बढर्दै जर्नेलसम्म भएका थिए ?,बहीदर,कप्तान,सुवेदार,जमदार,
बेलायत मा संसद को स्वीकृति बेगर कुनै प्रकार को कर उठाउन वा लगाउन नपाउने व्यवस्था केले गरेको थियो ?,नागरिक अधिकार पत्र,कुनै पनि होइन,नागरिक वडापत्र,Magna Carta,
सिन्धु घाटीका मानिस हरुको मुख्य पेशा के थियो ?,कृषि,व्यापार,रोजगारी,पशुपालन,
भगवान Gautam Buddha को माताको नाम के हो ?,रुक्मणी,मायावती,मायादेवी,कौसल्यावती,
फाल्गुनन्दको जन्म कहाँ भएको थियो ?,चिन,झापा,भारत,इलाम,
सगरमाथा दिवस कहिले मानाइन्छ ?,Kartik 16,Jestha 16,Magh 16,Asar 16,
नेपालले सन् २०१४ को २०-२० विश्वकप क्रिकेटमा पहिलो खेल को संग खेलेको थियो ?,Afganisthan,Hong Kong,Bangladesh,Holland,
Which is the largest Island in the world?,Greenland,Australia,New Guinea,Borneo,
अरनिकोको जन्म कहिले भएको थियो ?,वि.स.१३१५,वि.स.१३०१,वि.स.१३००,वि.स.१३०५,
Coat (कोट) लगाउने पहिलो राणा प्रधानमन्त्री को हुन् ?,Dev Shumsher,Ranodip Singh,Bir Shumsher,Jung Bahadur,
Lakhan Thapa ले कुन जिल्लामा बिद्रोह गरेका थिए ?,Palpa,Kavre,Gorkha,Lamjung,
नेपाललाई पहिलो बैदेसिक सहायता स्वरूप कती रकम अनुदानमा प्राप्त भएको थियो ?,50 Thousand USD,18 Thousand USD,22 Thousand USD,38 Thousand USD,
Central Development Region मा कति ओटा जिल्ला हरु रहेको छ ?,20,18,19,16,
Rasuwa जिल्लाको सदरमुकाम कुन हो ?,Trishuli,Bidur,Dhunche,Chautara,
सबै ग्रहहरु घडी को दिशामा घुम्छन भने उल्टो घुम्ने एक मात्र ग्रह कुन हो ?,Venus,Mercury,Jupiter,Saturn,
गौतम बुद्धको जन्म कहाँ भएको थियो ?,गया,बनारस,लुम्बिनी,काशी,
गुरुङहरुको जातीय नाम के हो ?,तमु,गुरुङ,घान,थकाली,
Who is the last Malla Ruler of Bhaktapur?,Jay Prakash Malla,Siddhi Narshing Malla,Tej Narshing Malla,Ranajit Malla,
आदि कवि भन्नाले के बुझिन्छ ?,पहिलो कवि,भाषा कवि,आँसु कवि,अन्तिम कबि,
""" सब्दविधा ""नामको ग्रन्थका रचनाकार को हुन् ?",अंशुबर्मा,मानदेव,त्रिभूवन,अरिदेव,
